alumno,espanol,matematicas
11,"CON AYUDA MENCIONA CARACTERÌSTICAS DE OBJETOS Y PERSONAS QUE OBSERVA Y CONOCE, CUENTA HISTORIAS DE INVENCIÛN PROPIA Y EXPRESA OPINIONES SOBRE OTRAS HISTORIAS, ESCRIBE SU NOMBRE CON DIFERENTES PROPÛSITOS","CON AYUDA IDENTIFICA ALGUNAS RELACIONES DE EQUIVALENCIA ENTRE MONEDAS DE 1, 2, 5 Y 10, REPRODUCE MODELOS CON FORMAS, FIGURAS Y CUERPOS GEOMÈTRICOS"
12,"COMIENZA A IDENTIFICAR GRAFÌAS FORMALES EN LAS PALABRAS QUE CONOCE A TRAVÈS DE CARTELES, ETIQUETAS DE PRODUCTOS, LETREROS O EN NOMBRES DE LOS COMPAÒEROS Y LAS REPRODUCE.
PARTICIPA EN EXPOSICIONES ORALES, MOSTRANDO MAYOR FLUIDEZ.","COMUNICA POSICIONES EN UN ESPACIA TOMANDO SU CUERPO COMO REFERENCIA, INDICA LOS DESPLAZAMIENTOS PARA LLEGAR A UN LUGAR U OBJETO CUYA UBICACIÛN DESCONOCE.
IDENTIFICA EL ORDEN DE LOS N˙MEROS AL ESCRIBIR LA SECUENCIA NUMÈRICA.
"
13,"INTERPRETA E INFIERE EL CONOCIMIENTO QUE TIENE DE LOS DIVERSOS PORTADORES Y DEL SISTEMA DE ESCRITURA.
","REUNE INFORMACION SOBRE CRITERIOS ACORDADOS, REPRESENTA GR¡FICAMENTE DICHA INFORMACI”N Y LA INTERPRETA.
"
14,"ESCRIBE SU NOMBRE PROPIO( COMPLETO AUN CON UN POCO DE APOYO  DE UNA ETIQUETA DONDE ESTA ESCRITO SU NOMBRE COMPLETO. LE GUSTA ESCUCHAR CUENTOS Y AL FINALIZAR LA HISTORIA, SE LE CUESTIONA Y EXPRESA M·S SUS IDEAS SOBRE LO COMPRENDIDO.","DICE LA SERIE NUMÈRICA PARTIENDO DEL UNO, AL FORMAR COLECCIONES DE ELEMENTOS DIVERSOS POR PERCEPCIÛN ESTIMA LA CANTIDAD QUE CORRESPONDE. EL CONTEO LO HACE HASTA EL 20, AMPLIANDO EL RANGO DEL CONTEO. "
15,"ME SIENTO ORGULLOSA DE VER LO QUE APRENDISTE ESTE CICLO ESCOLAR, A PESAR DE QUE TRABAJAMOS EN LINEA TU ESFUERZO FUE EVIDENTE Y LO LOGRASTE.",FELICIDADES POR TU ESFUERZO Y DEDICACIÛN LOGRAMOS LO VISTO EN CLASE.
16,"IDENTIFICA LAS CONSONANTES D, N, F, V, B,H POR SONIDO Y ESCRITURA ASI COMO SILABAS DE LAS MISMAS . 
REALIZA LECTURA Y DICTADO DE PALABRAS. EXPRESA SUS IDEAS Y PUNTOS DE VISTA A SUS COMPAÒEROS Y MAESTROS. ESCUCHA 
OTRAS OPINIONES.
","IDENTIFICA Y ESCRIBE LOS N˙MEROS DEL 1 AL 70,IDENTIFICA MAYOR QUE, MENOR QUE, IGUAL QUE, RECONOCE DECENAS Y UNIDADES,
 REALIZA SUMAS Y RESTAS DE 2 DÌGITOS, REALIZA SECUENCIA DE IMAGENES, RESUELVE PROBLEMAS MATEMATICOS
"
17,"ORALMENTE SE EXPRESA CON CLARIDAD. NARRA CUENTOS ORDENANDO LOS SUCESOS, REALIZA DESCRIPCIONES BREVES MENCIONANDO CARACTERÌSTICAS DE OBJETOS O PERSONAS. ESCRIBE SU NOMBRE. SU ESCRITURA SE ENCUENTRA EN EL NIVEL SIL·BICO. 
","CONOCE LA SERIE NUMÈRICA ORAL HASTA 30. IDENTIFICA LOS N˙MEROS ESCRITOS HASTA EL 10. COMPARA E IGUALA COLECCIONES AGREGANDO O QUITANDO OBJETOS, CONOCE EL VALOR DE LAS MONEDAS. IDENTIFICA UBICACIONES ESPACIALES, REPRODUCE MODELOS CON FORMAS O FIGURAS."
18,"IDENTIFICA ALGUNAS DIFERENCIAS EN LAS FORMAS DE HABLAR DE LA GENTE. DESCRIBE PERSONAJES Y LUGARES QUE IMAGINA AL ESCUCHAR CUENTOS, F·BULAS, LEYENDAS Y OTROS RELATOS LITERARIOS."," EN OCASIONES COMUNICA DE MANERA ORAL Y ESCRITA LOS N˙MEROS DEL 1 AL 20 EN DIVERSAS SITUACIONES Y DE DIFERENTES MANERAS, INCLUIDA LA CONVENCIONAL.USA UNIDADES NO CONVENCIONALES PARA MEDIR LA CAPACIDAD CON DISTINTOS PROPÛSITOS."
19,"LOGRA DECIR RIMAS, CANCIONES, TRABALENGUAS, ADIVINANZAS Y OTROS JUEGOS DEL LENGUAJE. EXPONE INSTRUCCIONES CLARAS PARA ORGANIZAR Y REALIZAR DIVERSAS ACTIVIDADES, DURANTE JUEGOS Y PARA ARMAR OBJETOS.",LOGRA VERBALIZAR EL ORDEN DE ACCIONES REALIZADAS. APLICA LA SERIE NUMERICA DE MANERA CONVENCIONAL. UTILIZA ESTE CONOCIMIENTO PARA ACEPTAR Y RESOLVER RETOS Y OTRAS POSIBILIDADES VARIADAS
20,HA LOGRADO CONSTRUIR INSTRUCTIVOS DE DIVERSOS TEMAS CON AYUDA DE ?GRAFÌAS? E IM·GENES DE MANERA CADA VEZ M·S CLARAS.,PARTICIPA EN JUEGOS DE COMPRAVENTA IDENTIFICANDO EL VALOR NOMINATIVO DE LAS MONEDAS Y VINCULANDO ESTAS ACCIONES CON EXPERIENCIAS PREVIAS.
21,"EXPRESA PREFERENCIAS POR JUEGOS, JUGUETES Y ACTIVIDADES QUE REALIZA, REPRESENTANDO ESTAS IDEAS DE MANERA GR·FICA. REALIZA EL COPIADO DE UN RECADO, QUE AYUDÛ A CREAR, CON AYUDA DEL ADULTO QUE LO ACOMPAÒA. ","REALIZA COMPARACIONES Y ESTIMACIONES DE CARACTERÌSTICAS MEDIBLES, MANIPULANDO CONTENEDORES DE DIFERENTES CAPACIDADES, PONIENDO EN JUEGO SU OBSERVACIÛN. REGISTRA SUS RESULTADOS. "
22,"DICE RIMAS, POEMAS Y TRABALENGUAS DE FORMA GENERAL E INDIVIDUAL, EVIDENCIANDO MAYOR AGILIDAD ORAL. COMPARTE EL CONOCIMIENTO QUE TIENE  SOBRE UN TEMA, ASÌ COMO COMENTAR NOTICIAS QUE HA ESCUCHADO O VISTO EN ALGUNOS MEDIOS INFORMATIVOS O DE COMUNICACIÛN","COMUNICA POSICIONES EN UN ESPACIA TOMANDO SU CUERPO COMO REFERENCIA, INDICA LOS DESPLAZAMIENTOS PARA LLEGAR A UN LUGAR U OBJETO CUYA UBICACIÛN DESCONOCE. UTILIZA UNIDADES DE MEDIDA NO CONVENCIONALES PARA DETERMINAR LA LONGITUD DE LOS OBJETOS.
"
23,SE ESFUERZA EN ESCRIBIR SU NOMBRE ,IDENTIFICA FORMAS GEOMÈTRICAS SIMILARES Y CREAR FIGURAS PARTIENDO DE ESTAS. CON APOYO COMUNICA DE MANERA ORAL Y ESCRITA N˙MEROS DEL 1 AL 10.  DETERMINAR LA CAPACIDAD DE UN RECIPIENTE. CON APOYO RESUELVE PROBLEMAS DE CANTIDAD QUE IMPLICAN AGREGAR.
24,"SABE ESCRIBIR SU NOMBRE COMPLETO CON APELLIDOS, LOGRA COPIAR PALABRAS, IDENTIFICA LOS PERSONAJES DE UN CUENTO, IDENTIFICA LAS LETRAS CON LAS QUE INICIA SU NOMBRE, CONOCE LAS VOCALES Y CASI TODAS LAS CONSONANTES, DIFERENCIA LETRAS DE NUMEROS","REALIZA CONTEO ORAL HASTA EL NUMERO 30,  CONOCE LAS FIGURAS GEOMETRICAS, IDENTIFICA LA CANTIDAD DE OBJETOS EN UN EJERCICIO, ORDENA CORRECTAMENTE LAS FICHAS DEL 1 AL 10, CONOCE EL VALOR DE LAS MONEDAS DE $1, $2, $5 Y $20 , RESUELVE SUMAS  SENCILLAS"
25,"ESCRIBE SU NOMBRE SIN TENER DIFICULTAD. ES CAPAZ DE IDENTIFICAR LA FUNCIÛN DEL CALENDARIO. IDENTIFICA CARACTERÌSTICAS DE LOS LIBROS, ASÌ COMO LOS TEXTOS E IM·GENES EXPONE INFORMACIÛN SOBRE UN TEMA  ESPECIFICO",REPARTE DE FORMA EQUITATIVA OBJETOS EN UNA COLECCIÛN. RECONOCE EL ULTIMO NUMERO NOMBRADO COMO EL QUE INDICA LA CANTIDAD DE OBJETOS CONTADOS RECONOCE EL USO DE LOS N˙MEROS  EN DIFERENTES SITUACIONES
26,"MENCIONA UNA NOTICIA CON AYUDA DE CUESTIONAMIENTOS QUE LE FORMULA UN ADULTO, REALIZA REGISTROS MEDIANTE DIBUJOS PARA SU EXPLICACIÛN.  ",IGUALA COLECCIONES CON APOYO DE UN ADULTO SIGUIENDO UNA CANTIDAD ESTABLECIDA DONDE SU RANGO DE CONTEO ES HASTA 5.  
27," EXPRESA SUS IDEAS SOBRE DIFERENTES TEXTOS INFORMATIVOS, EST· EN PROCESO DE ESCRIBIR SU NOMBRE, DESCRIBE CARACTERÌSTICAS DE ALGUNOS OBJETOS.                                                                                                             ","CON AYUDA RESUELVE PEQUEÒOS PROBLEMAS QUE IMPLICAN: QUITAR, AGREGAR, IGUALAR, ESTA EN PROCESO DE REGISTRAR DATOS EN TABLAS Y PICTOGRAMAS. "
28,"DESCRIBE DE MANERA DETALLADA LAS CARACTERÌSTICAS DE LOS OBJETOS (FORMA, TAMAÒO, COLOR ETC.) Y PERSONAS (RASGOS FÌSICOS Y EMOCIONALES) QUE CONOCE Y OBSERVA. ","IGUALA Y CLASIFICA COLECCIONES CON BASE A LA CANTIDAD DE ELEMENTOS (MAYOR A MENOR, DE MENOR A MAYOR) IDENTIFICA LA CANTIDAD DE ELEMENTOS DE UNA COLECCIÛN Y LO RELACIONA CON EL CARDINAL QUE LE CORRESPONDE. "
29,"ESCRIBE INSTRUCTIVOS, CARTAS  UTILIZANDO RECURSOS PROPIOS, LOGRA APRENDEN POEMAS Y COMPARTIRLOS FRENTE A OTRAS PERSONAS, MENCIONA CAR¡CTERÕSTICAS DE OBJETOS Y PERSONAS QUE CONOCE,ESCRIBE SU NOMBRE E IDENTIFICA PALABRAS A PARTIR DE LETRAS QUE LO CONFO","UBICA OBJETOS Y LUGARES CUYA UBICACI”N DESCONOCE A TRAV…S DE LA INTERPRETACI”N DE RELACIONES ESPACIALES Y PUNTOS DE REFERENCIA, IDENTIFICA ALGUNAS RELACIONES DE EQUIVALENCIA ENTRE MONEDAS Y LAS USA EN SITUACIONES FICTICIAS DE COMPRA, REPRODUCE MODELO"
30,EN PROCESO DE RECONOCER SU NOMBRE ESCRITO ,SE ENCUENTRA EN PROCESO DE UBICAR OBJETOS A TRAVÈS DE LA INTERPRETACIÛN DE PUNTOS DE REFERENCIA 
31,PUEDE ESCUCHAR UN CUENTO Y COMPRENDER LO QUE DICE DE MANERA GLOBAL. LOGRA CAPTAR LAS IDEAS PRINCIPALES DE DISTINTAS NARRACIONES Y GUSTA DE PARTICIPAR CON ALEGRÕA EN DIVERSAS LECTURAS. PUEDE USAR SIGNOS GR¡FICOS PARA EXPRESAR LO QUE QUIERE COMUNICAR.,LOGRA LLEVAR A CABO EL CONTEO DE ELEMENTOS O CONJUNTOS SUPERIORES A DIEZ. PUEDE REALIZAR PEQUE—AS GR¡FICAS CON DIVERSOS OBJETOS SEG⁄N INFORMACI”N QUE SE LE PROPORCIONA. SABE LA UTILIDAD QUE TIENEN LOS N⁄MEROS EN LAS ACTIVIDADES DE SU VIDA COTIDIANA.
32,LOGRA REALIZAR DESCRISPACIONES BREVES DE OBJETOS Y DE SUCESOS. HABLA SOBRE LO QUE LE HA PARECIDO UNA HISTORIA. PARA LOGRAR ESCRIBIR SU NOMBRE LO COPIA.,"HA AVANZADO EN EL RECONOCIMIENTO DE LA SERIE ESCRITA. RECONOCE ENTRE DOS OBJETOS CUAL ES M·S GRANDE, IDENTIFICA POR PERCEPCIÛN COLECCIONES PEQUEÒAS, AL CONTAR INICIA POR EL UNO. CON APOYO RECONOCE LAS FIGURAS GEOMÈTRICAS NOMBRES Y CARACTERÌSTICAS."
33,"EXPRESA CON EFICACIA SUS IDEAS ACERCA DE DIVERSOS TEMAS Y ATIENDE LO QUE SE DICE EN INTERACCIÛN CON OTRAS PERSONAS, DESCRIBE PERSONAJES Y LUGARES QUE IMAGINA AL ESCUCHAR CUENTOS, F·BULAS, LEYENDAS Y OTROS RELATOS LITERARIOS","COMUNICA DE MANERA ORAL Y ESCRITA LOS N˙MEROS DEL UNO AL 10 EN DIVERSAS SITUACIONES Y DE DIFERENTES MANERAS INCLUIDA LA CONVENCIONAL.  REPRODUCE MODELOS CON FORMAS, FIGURAS Y CUERPOS GEOMÈTRICOS.  IDENTIFICA VARIOS EVENTOS EN SU VIDA COTIDIANA."
34,"IDENTIFICA SU NOMBRE Y LO ESCRIBE USANDO TRAZOS Y GRAFÕAS CONVENCIONALES, IDENTIFICA LA INICIAL Y LA RELACIONA CON PALABRAS QUE COMIENZAN IGUAL. ","REALIZA EL CONTEO DE COLECCIONES DE HASTA 10 ELEMENTOS, REGISTRANDO LA CANTIDAD DE MANERA ESCRITA. REPRESENTA LOS N⁄MEROS ESCRITOS CON APOYO DE UN ADULTO."
35,"UTILIZA LETRAS CONVENCIONALES PARA ESCRIBIR DE MANERA CONVENCIONAL PALABRAS CORTAS COMO: MAM·, OSO, MANO, ETC. IDENTIFICA LA UTILIDAD DE DIVERSOS TEXTOS COMO REVISTAS, PERIÛDICO Y RECETA. EXPRESA DE MANERA ORAL MAS PRECISAS SUS IDEAS","IDENTIFICA Y CREA FORMAS GEOMÈTRICAS B·SICAS COMO? CIRCULO, CUADRADO, RECT·NGULO LAS RELACIONA CON OBJETOS COTIDIANOS Y SIGUE SECUENCIAS CON LAS MISMAS. LOGRA CONTEO ORAL ESTABLE DE N˙MEROS DEL 1 AL 15 Y LOS RECONOCE DE MANERA ESCRITA."
36,ES CAPAZ DE ENTABLAR UNA CONVERSACIÛN SOBRE EL TEMA QUE SE EST· ABORDANDO. ESCUCHA CON ATENCIÛN LO QUE DICEN LOS DEM·S. ,"SABE QUE LOS N˙MEROS CUMPLEN UNA FUNCIÛN SOCIAL Y QUE NOS RECUERDAN EVENTOS IMPORTANTES COMO NUESTRO CUMPLEAÒOS, AL COMPRAR ALGO Y RECIBIR LA FERIA, ETC. "
37,"ARIEL DICE RELATOS DE LA TRADICIÛN ORAL QUE LE SON FAMILIARES
EXPLORA Y REACCIONA ANTE EXPRESIONES DE SALUDO, CORTESÌA Y DESPEDIDA.
EXPLICA CÛMO ES, CÛMO OCURRIÛ O CÛMO FUNCIONA ALGO, ORDENANDO LAS IDEAS PARA QUE LOS DEM·S COMPRENDAN.
","COMUNICA DE MANERA ORAL Y ESCRITA LOS PRIMEROS 10 N˙MEROS 
RELACIONA EL N˙MERO DE ELEMENTOS DE UNA COLECCIÛN CON LA SUCESIÛN NUMÈRICA ESCRITA DEL 1 AL 10
"
38,"RESPONDE POR QU… O COMO SUCEDI” ALGO EN RELACION CON EXPERIENCIAS Y HECHOS QUE COMENTA, EXPRESA SUS IDEAS SOBRE TEXTOS INFORMATIVOS, COMENTA A PARTIR DE LA LECTURA QUE ESCUCHA.",COMPARA IGUALA Y CLASIFICA COLECCIONES CON BASE EN LA CANTIDAD DE ELEMENTOS.
39,"MENCIONA CON PRECISIÛN LAS CARACTERÌSTICAS DE LOS OBJETOS Y PERSONAS QUE OBSERVA.  DESCRIBE PUNTUALMENTE DE MANERA CLARA Y CON ORACIONES CADA VEZ M·S COMPLETAS, A LOS PERSONAJES Y LUGARES QUE IMAGINA AL ESCUCHAR LA LECTURA DE UN RELATO LITERARIO. ","IDENTIFICA SUCESOS Y EVENTOS DE SU VIDA COTIDIANA Y MENCIONA EL ORDEN EN QUE OCURREN DE MANERA PRECISA Y EXACTA, HACIENDO DESCRIPCIONES. COMPARA Y ESTIMA DISTANCIAS, USANDO MEDIAS CONVENCIONALES COMO INTERMEDIARIOS. AGREGA Y QUITA ELEMENTOS."
40,SOLICITA LA PALABRA PARA HABLAR Y ESCUCHA LAS IDEAS DE SUS COMPAÒEROS. SU LENGUAJE ES CLARO Y PUEDE MANTENER CONVERSACIONES LARGAS ,CUENTA EN SECUENCIA DEL 1 AL 10 Y COMIENZA A TRAZARLOS 
41, SE DESENVUELVE MAS AL CONTAR HISTORIAS O SUCESOS QUE PRESENTA. SE INTERESA POR LOS CUENTOS CON DIBUJOS COLORIDOS. CONOCE ALGUNAS LETRAS QUE LLEVA SU NOMBRE. REALIZA DESCRIPCIONES DE OBJETOS PARA ENCONTRARLOS SIN DIFICULTAD.,"RECONOCE LAS FIGURAS GEOMÈTRICAS EN OBJETOS QUE TENEMOS EN LA CASA.
REALIZA SUMAS CON LOS DEDOS, O CON CUALQUIER OBJETO QUE SE LE PIDA. "
42,"ESCUCHA LECTURAS DE CUENTOS Y LEYENDAS. ALGUNAS VECES EXPRESA LO QUE LE GUSTA DE LAS HISTORIAS Y DIFERENCIA ENTRE LO QUE ES REAL O FANTASÌA. COMIENZA A ESCRIBIR SU NOMBRE, IDENTIFICANDO LA LETRA INICIAL,REQUIERE APOYO PARA IDENTIFICAR LAS RIMAS.","LOGRA MENCIONAR LOS N˙MEROS DEL 1 AL DIEZ, LOGRA CONTAR OBJETOS EN PEQUEÒAS CANTIDADES, IDENTIFICA LOS OBJETOS GRANDES Y PEQUEÒOS, SE LE DIFICULTA IDENTIFICAR EL NUMERO ESCRITO.SE LE DIFICULTA IDENTIFICAR EL USO DE LOS N⁄MEROS."
43,"ESCRIBE SU NOMBRE CON LA TOTALIDAD DE LAS LETRAS, CONOCE EL ESCUCHA Y OBSERVA VIDEOS Y MUESTRA HABILIDAD PARA LA COMPRENSI”N.","REALIZA COLECCIONES Y RECONOCE EN CUAL TIENE MAS CANTIDAD O MENOS CANTIDAD, RECONOCE ALGUNOS N⁄MEROS DEL 1 AL 5.
"
44,"ES CAPAZ DE INVENTAR ALGUNAS HISTORIAS DE PERSONAJES Y PAISAJES QUE OBSERVA 
EN IM·GENES. REQUIERE UN POCO DE APOYO PARA NARRAR ALGUNAS PARTES DE LA 
SECUENCIA DE UNA ANÈCDOTA","IDENTIFICA POCOS EVENTOS DE SU VIDA COTIDIANA Y CON AYUDA DICE EL ORDEN EN 
QUE OCURREN. UBICA OBJETOS Y LUGARES CUYA UBICACIÛN DESCONOCE, A TRAVÈS DE 
GUÌA CONSTANTE."
45,REALIZA DESCRIPCIONES SENCILLAS PERO CLARAS DE LOS PERSONAJES Y LUGARES QUE OBSERVA EN CUENTOS Y F·BULAS. PUEDE  INVENTAR HISTORIAS A PARTIR DE LAS QUE YA TIENE CONOCIMIENTO. PROPONE FINALES ALTERNATIVOS DE LOS CUENTOS QUE SE SABE.,"CONOCE LOS NOMBRES Y CARACTERÌSTICAS DE LAS FIGURAS GEOMÈTRICAS B·SICAS, JUEGA CON EL TANGRAM O CON FIGURAS QUE RECORTA, LOGRANDO CONSTRUIR NUEVAS CONFIGURACIONES COMO PAISAJES, OBJETOS, ANIMALES, ETC. "
46,"EST· EN PROCESO DE LA ESCRITURA DE SU NOMBRE, LO COPIA CON APOYO DE UNA TARJETA. MUESTRA M·S SEGURIDAD AL EXPRESAR SUS IDEAS EN LAS CLASES EN LÌNEA. ","LOGRA  RELACIONAR ALGUNOS ELEMENTOS QUE CUENTA CON LA GRAFÌA CORRESPONDIENTE, YA QUE A˙N SE ENCUENTRA EN PROCESO INICIAL DE RECONOCER LOS N˙MEROS DE FORMA ESCRITA. "
47,"LOGRA IDENTIFICAR SU NOMBRE, PERO AUN SE LE DIFICULTA ESCRIBIRLO DE MANERA CONVENCIONAL.",DICE LOS NUMEROS DEL 1 AL 15 AL MOMENTO DE REALIZAR EL CONTEO EN JUEGOS Y ACTIVIDADES.
48,"DURANTE LAS ACTIVIDADES DE LENGUAJE ORAL, DEMUESTRA QUE TIENEN MAYOR HABILIDAD PARA EXPLICAR, ARGUMENTAR, NARRAR Y DESCRIBIR DIFERENTES SITUACIONES U OBJETOS .IDENTIFICA LAS LETRAS QUE FORMAN SU NOMBRE Y LO DIFERENCIA DEL DE LOS COMPAÒEROS.","REALIZA F·CILMENTE EL CONTEO DE UNA COLECCIÛN DE 10 ELEMENTOS, RECONOCE QUE, EN EL CONTEO, EL ˙LTIMO N˙MERO DICHO ES LA CANTIDAD TOTAL QUE HAY, UTILIZA DIVERSAS ESTRATEGIAS PARA CONTARLOS ADECUADAMENTE. SE ESFUERZA CONSTANTEMENTE PARA DAR RESPUEST"
49,"MEDIANTE AUDIOS RECIBIDOS, SE OBSERVA QUE MANIFIESTA ALGUNAS IDEAS SOBRE ALG˙N TEMA O SUCESO, COMENTA POR QUÈ O CÛMO SUCEDIÛ.",ESTABLECE RELACIONES TEMPORALES AL EXPLICAR SECUENCIAS DE ACTIVIDADES DE SU VIDA COTIDIANA O EL RECONSTRUIR PROCESOS EN LOS QUE PARTICIPÛ.
50,"OBSERVA UNA IMAGEN Y CREA UNA HISTORIA A PARTIR DE LAS PERSONAS Y LUGARES  DE LA IMAGEN. EXPRESA SUS PREFERENCIAS POR JUEGOS, ACTIVIDADES FAMILIARES QUE REALIZA Y JUGUETES CON UN LENGUAJE FLUIDO. DESCRIBE LAS CARACTERÕSTICAS DE UNA IMAGEN QUE OBSERVA","NOMBRA LOS PUNTOS DE REFERENCIA QUE CONOCE PARA INDICAR COMO LLEGAR A UN DETERMINADO LUGAR.  UTILIZA MONEDAS DE DIFERENTE VALOR PARA RESOLVER SITUACIONES DE COMPRA Y VENTA, REGISTRA LOS DATOS Y EL RESULTADO. REGISTRA DE MANERA ESCRITA LOS N⁄MEROS."
